"experiment","ensemble","model","year","TXx"
"historical","r10i1p1f1","CanESM5",1850,74.22485
"historical","r10i1p1f1","CanESM5",1851,81.9281300000001
"historical","r10i1p1f1","CanESM5",1852,82.2716600000001
"historical","r10i1p1f1","CanESM5",1853,81.70493
"historical","r10i1p1f1","CanESM5",1854,77.061956
"historical","r10i1p1f1","CanESM5",1855,81.450212
"historical","r10i1p1f1","CanESM5",1856,77.9476640000001
"historical","r10i1p1f1","CanESM5",1857,85.27406
"historical","r10i1p1f1","CanESM5",1858,83.263028
"historical","r10i1p1f1","CanESM5",1859,84.99542
"historical","r10i1p1f1","CanESM5",1860,79.95992
"historical","r10i1p1f1","CanESM5",1861,76.4657600000001
"historical","r10i1p1f1","CanESM5",1862,81.4212680000001
"historical","r10i1p1f1","CanESM5",1863,78.280664
"historical","r10i1p1f1","CanESM5",1864,87.49292
"historical","r10i1p1f1","CanESM5",1865,83.33564
"historical","r10i1p1f1","CanESM5",1866,71.27924
"historical","r10i1p1f1","CanESM5",1867,90.7026800000001
"historical","r10i1p1f1","CanESM5",1868,85.38386
"historical","r10i1p1f1","CanESM5",1869,82.314356
"historical","r10i1p1f1","CanESM5",1870,89.169656
"historical","r10i1p1f1","CanESM5",1871,80.17304
"historical","r10i1p1f1","CanESM5",1872,89.6416340000001
"historical","r10i1p1f1","CanESM5",1873,79.9568600000001
"historical","r10i1p1f1","CanESM5",1874,82.8631400000001
"historical","r10i1p1f1","CanESM5",1875,87.101204
"historical","r10i1p1f1","CanESM5",1876,84.6040100000001
"historical","r10i1p1f1","CanESM5",1877,84.44156
"historical","r10i1p1f1","CanESM5",1878,81.9159260000001
"historical","r10i1p1f1","CanESM5",1879,81.8886920000001
"historical","r10i1p1f1","CanESM5",1880,82.4459720000001
"historical","r10i1p1f1","CanESM5",1881,86.86202
"historical","r10i1p1f1","CanESM5",1882,88.4563700000001
"historical","r10i1p1f1","CanESM5",1883,85.56053
"historical","r10i1p1f1","CanESM5",1884,79.2953600000001
"historical","r10i1p1f1","CanESM5",1885,82.9420520000001
"historical","r10i1p1f1","CanESM5",1886,77.58716
"historical","r10i1p1f1","CanESM5",1887,82.785506
"historical","r10i1p1f1","CanESM5",1888,77.093312
"historical","r10i1p1f1","CanESM5",1889,85.9082
"historical","r10i1p1f1","CanESM5",1890,83.072084
"historical","r10i1p1f1","CanESM5",1891,79.613636
"historical","r10i1p1f1","CanESM5",1892,86.6945480000001
"historical","r10i1p1f1","CanESM5",1893,79.835234
"historical","r10i1p1f1","CanESM5",1894,78.93149
"historical","r10i1p1f1","CanESM5",1895,86.6339600000001
"historical","r10i1p1f1","CanESM5",1896,89.2524200000001
"historical","r10i1p1f1","CanESM5",1897,76.085492
"historical","r10i1p1f1","CanESM5",1898,77.598626
"historical","r10i1p1f1","CanESM5",1899,82.429052
"historical","r10i1p1f1","CanESM5",1900,85.966754
"historical","r10i1p1f1","CanESM5",1901,90.9641120000001
"historical","r10i1p1f1","CanESM5",1902,90.226436
"historical","r10i1p1f1","CanESM5",1903,79.0125260000001
"historical","r10i1p1f1","CanESM5",1904,87.911726
"historical","r10i1p1f1","CanESM5",1905,78.7821440000001
"historical","r10i1p1f1","CanESM5",1906,76.27775
"historical","r10i1p1f1","CanESM5",1907,78.11933
"historical","r10i1p1f1","CanESM5",1908,82.1426
"historical","r10i1p1f1","CanESM5",1909,86.58797
"historical","r10i1p1f1","CanESM5",1910,84.192134
"historical","r10i1p1f1","CanESM5",1911,82.2209
"historical","r10i1p1f1","CanESM5",1912,76.92008
"historical","r10i1p1f1","CanESM5",1913,83.39234
"historical","r10i1p1f1","CanESM5",1914,82.5636920000001
"historical","r10i1p1f1","CanESM5",1915,81.1959440000001
"historical","r10i1p1f1","CanESM5",1916,83.708744
"historical","r10i1p1f1","CanESM5",1917,90.3983
"historical","r10i1p1f1","CanESM5",1918,79.3715540000001
"historical","r10i1p1f1","CanESM5",1919,81.08735
"historical","r10i1p1f1","CanESM5",1920,74.491754
"historical","r10i1p1f1","CanESM5",1921,81.7678400000001
"historical","r10i1p1f1","CanESM5",1922,87.684296
"historical","r10i1p1f1","CanESM5",1923,84.2586080000001
"historical","r10i1p1f1","CanESM5",1924,81.574592
"historical","r10i1p1f1","CanESM5",1925,77.6336720000001
"historical","r10i1p1f1","CanESM5",1926,80.821148
"historical","r10i1p1f1","CanESM5",1927,90.69197
"historical","r10i1p1f1","CanESM5",1928,80.580488
"historical","r10i1p1f1","CanESM5",1929,76.9028720000001
"historical","r10i1p1f1","CanESM5",1930,78.816632
"historical","r10i1p1f1","CanESM5",1931,74.525648
"historical","r10i1p1f1","CanESM5",1932,79.31012
"historical","r10i1p1f1","CanESM5",1933,79.32047
"historical","r10i1p1f1","CanESM5",1934,88.036574
"historical","r10i1p1f1","CanESM5",1935,88.492892
"historical","r10i1p1f1","CanESM5",1936,84.5837960000001
"historical","r10i1p1f1","CanESM5",1937,82.891454
"historical","r10i1p1f1","CanESM5",1938,80.49038
"historical","r10i1p1f1","CanESM5",1939,83.1035480000001
"historical","r10i1p1f1","CanESM5",1940,81.095252
"historical","r10i1p1f1","CanESM5",1941,82.707494
"historical","r10i1p1f1","CanESM5",1942,83.074712
"historical","r10i1p1f1","CanESM5",1943,81.982454
"historical","r10i1p1f1","CanESM5",1944,85.14959
"historical","r10i1p1f1","CanESM5",1945,83.1236000000001
"historical","r10i1p1f1","CanESM5",1946,88.315574
"historical","r10i1p1f1","CanESM5",1947,77.565776
"historical","r10i1p1f1","CanESM5",1948,84.9693560000001
"historical","r10i1p1f1","CanESM5",1949,84.098912
"historical","r10i1p1f1","CanESM5",1950,81.130676
"historical","r10i1p1f1","CanESM5",1951,86.57699
"historical","r10i1p1f1","CanESM5",1952,88.4993720000001
"historical","r10i1p1f1","CanESM5",1953,85.408646
"historical","r10i1p1f1","CanESM5",1954,82.639328
"historical","r10i1p1f1","CanESM5",1955,86.831384
"historical","r10i1p1f1","CanESM5",1956,75.99668
"historical","r10i1p1f1","CanESM5",1957,84.741008
"historical","r10i1p1f1","CanESM5",1958,86.1167660000001
"historical","r10i1p1f1","CanESM5",1959,89.6278460000001
"historical","r10i1p1f1","CanESM5",1960,91.188608
"historical","r10i1p1f1","CanESM5",1961,88.35233
"historical","r10i1p1f1","CanESM5",1962,81.081896
"historical","r10i1p1f1","CanESM5",1963,79.7108720000001
"historical","r10i1p1f1","CanESM5",1964,80.7201320000001
"historical","r10i1p1f1","CanESM5",1965,75.05393
"historical","r10i1p1f1","CanESM5",1966,85.343234
"historical","r10i1p1f1","CanESM5",1967,81.14216
"historical","r10i1p1f1","CanESM5",1968,84.1640720000001
"historical","r10i1p1f1","CanESM5",1969,88.5378200000001
"historical","r10i1p1f1","CanESM5",1970,87.343952
"historical","r10i1p1f1","CanESM5",1971,84.3377540000001
"historical","r10i1p1f1","CanESM5",1972,79.061954
"historical","r10i1p1f1","CanESM5",1973,84.4168640000001
"historical","r10i1p1f1","CanESM5",1974,83.0086340000001
"historical","r10i1p1f1","CanESM5",1975,89.873492
"historical","r10i1p1f1","CanESM5",1976,86.23175
"historical","r10i1p1f1","CanESM5",1977,85.46216
"historical","r10i1p1f1","CanESM5",1978,91.8148280000001
"historical","r10i1p1f1","CanESM5",1979,77.4541400000001
"historical","r10i1p1f1","CanESM5",1980,84.5096360000001
"historical","r10i1p1f1","CanESM5",1981,83.0823440000001
"historical","r10i1p1f1","CanESM5",1982,81.474944
